Comment,Description,Designator,Footprint,LibRef,Quantity

"1µF","CAP CER 1UF 10V X5R 0402, CAP CER 1UF 10V X7S 0402","C1, C5, C?","SMD-0402C","GRM155R61A105KE15D, GCM155C71A105KE38D","5"
"0.10µF","CAP CER 0.1UF 10V X5R 0402","C6","SMD-0402C","GRM152R61A104KE19D","1"
"4208","","J1, J2, J3","4208","4208","3"
"0.0","RES SMD 0.0OHM JUMPER 1/10W 0402","R1, R3, R4, R8","SMD-0402-RES","ERJ-2GE0R00X","4"
"348","RES SMD 348 OHM 1% 1/10W 0402","R5, R7","SMD-0402-RES","ERJ-2RKF3480X","2"
"4.7k","RES SMD 4.7K OHM 5% 1/10W 0402","R17, R18","SMD-0402-RES","ERJ-2GEJ472X","2"
"1k","RES SMD 1K OHM 1% 1/10W 0402","R?","SMD-0402-RES","ERJ-2RKF1001X","1"
"1M","RES SMD 1M OHM 1% 1/10W 0402","R?","SMD-0402-RES","ERJ-2RKF1004X","1"
"350 Ohm, Strain Gauge Sensor","","S1, S2","BF350-3AA-NARROW","BF350-3AA","2"
"INA331DGK","Low-Power, Single Supply, CMOS, Instrumentation Amplifier 8-VSSOP -55 to 125","U1","SOP65P490X110-8N","INA331DGK","1"
"ADS1015IDGST","12-Bit, 3.3kSPS, 4-Ch Delta-Sigma ADC With PGA, Oscillator, VREF, Comparator and I2C Interface 10-VSSOP -40 to 125","U2","SOP50P490X110-10N","ADS1015IDGST","1"
"TPS60402DBVT","60mA Charge Pump Voltage Inverter with Fixed 50kHz Operation 5-SOT-23 -40 to 85","U?","SOT95P280X145-5N","TPS60402DBVT","1"
